site,url,section,title,date,author,full_text,Media
newsbomb.gr,https://www.newsbomb.gr/ellada/story/1457679/pyrovolismoi-se-klamp-sto-kentro-tis-athinas,ΕΛΛΑΔΑ,Πυροβολισμοί σε κλαμπ στο κέντρο της Αθήνας,2023-08-12T12:32:02+03:00,Newsbomb,"Newsbomb Πυροβολισμοί ακούστηκαν λίγο μετά τις 05:00 τα ξημερώματα του Σαββάτου σε κλαμπ στο κέντρο της Αθήνας. Πυροβολισμοί έξω από κλαμπ στη Λεωφόρο Βουλιαγμένης 22, προκάλεσαν αναστάτωση και συναγερμό στην Αστυνομία. Το περιστατικό συνέβη στις 05.30 τα ξημερώματα και σύμφωνα με αυτόπτες μάρτυρες ένας άνδρας που βγήκε από το κλαμπ άρχισε να πυροβολεί με πιστόλι και στη συνέχεια διέφυγε με ΙΧ αυτοκίνητο. Στον τόπο του συμβάντος βρέθηκαν πέντε κάλυκες και τρεις οπές από σφαίρες στην ταμπέλα του καταστήματος. Οι αστυνομικοί που πήγαν στο σημείο, με βάση τις περιγραφές άρχισαν να αναζητούν το αυτοκίνητο και λίγο αργότερα το εντόπισαν σταθμευμένο στην συμβολή των οδών Θησέως και Ευριπίδου στην Καλλιθέα. Στο όχημα επέβαιναν ένας άνδρας και μια γυναίκα, οι οποίοι συνελήφθησαν, ενώ σε έρευνα που έγινε βρέθηκαν δύο πιστόλια. Προανάκριση για την υπόθεση διενεργεί η Υποδιεύθυνση Ασφάλεια Αθηνών.  Δείτε το βίντεο της ΕΡΤ: Διαβάστε επίσης: Κιλκίς: Αλβανοί μπήκαν στη χώρα με σάκους που είχαν 38 κιλά χασίς Ασθενής αυτοκτόνησε στο Αττικόν Νοσοκομείο Νέα Φιλαδέλφεια: Στον ανακριτή ο αδερφός του Μιχάλη Κατσουρή - «Θέλω να αποδοθεί δικαιοσύνη»",True
newsbomb.gr,https://www.newsbomb.gr/ellada/story/1457675/kilkis-alvanoi-bikan-sti-xora-me-sakous-pou-eixan-38-kila-xasis,ΕΛΛΑΔΑ,Κιλκίς: Αλβανοί μπήκαν στη χώρα με σάκους που είχαν 38 κιλά χασίς,2023-08-12T12:22:03+03:00,Newsbomb,"Newsbomb Κιλκίς: Οι συλληφθέντες στην θέα των αστυνομικών απέρριψαν τους σάκους που μετέφεραν και τράπηκαν σε φυγή Στο πλαίσιο καταπολέμησης του διασυνοριακού εγκλήματος, από αστυνομικούς του Τμήματος Ασφάλειας Κιλκίς, συνελήφθησαν χθες τα ξημερώματα, δύο άνδρες από την Αλβανία ηλικίας 37 και 52 ετών, που προσπάθησαν να εισάγουν στη χώρα περισσότερα από 38 κιλά κάνναβης. Ειδικότερα, μετά από διακρατική συνεργασία των Διωκτικών Αρχών και συντονισμένων ενεργειών των αστυνομικών του Τμήματος Ασφάλειας Κιλκίς, εντοπίστηκαν οι προαναφερόμενοι άνδρες σε μεθοριακή περιοχή των Ευζώνων, στο Κιλκίς, να μεταφέρουν δύο σάκους, τους οποίους απέρριψαν στη θέα των αστυνομικών και τράπηκαν σε φυγή. Σε οργανωμένη επιχείρηση εντοπισμού τους, με τη συνδρομή και αστυνομικών του Τμήματος Συνοριακής Φύλαξης Παιονίας, οι δύο αλλοδαποί εντοπίστηκαν και συνελήφθησαν άμεσα. Μέσα στους παραπάνω σάκους που κατασχέθηκαν, διαπιστώθηκε ότι μετέφεραν 35 συσκευασίες με ποσότητες κάνναβης συνολικού βάρους 38 κιλών και 8 γραμμαρίων. Στην κατοχή τους βρέθηκαν και κατασχέθηκαν 3 κινητά τηλέφωνα και το χρηματικό ποσό των 230 ευρώ.  Δείτε περισσότερες φωτογραφίες στην gallery που ακολουθεί: Οι συλληφθέντες, με τη δικογραφία που σχηματίσθηκε σε βάρος τους, οδηγήθηκαν στον Εισαγγελέα Πρωτοδικών Κιλκίς και τους παρέπεμψε στον Ανακριτή. Διαβάστε επίσης: Ασθενής αυτοκτόνησε στο Αττικόν Νοσοκομείο Πάτρα: Συνελήφθη 50χρονος κατηγορούμενος για απόπειρα βιασμού Βίντεο-ντοκουμέντο: Η στιγμή που ο εμπρηστής βάζει φωτιά στα Φαραγγιανά",False
newsbomb.gr,https://www.newsbomb.gr/ellada/story/1457674/asthenis-aftoktonise-sto-attiko-nosokomeio,ΕΛΛΑΔΑ,Ασθενής αυτοκτόνησε στο Αττικόν Νοσοκομείο,2023-08-12T12:10:08+03:00,Newsbomb,"Newsbomb Ένα απίστευτο περιστατικό έλαβε χώρα το πρωί του Σαββάτου στο Αττικόν Νοσοκομείο  Ασθενής που νοσηλευόταν στη χειρουργική κλινική του Αττικού Νοσοκομείου με σοβαρά παθολογικά και ψυχιατρικά προβλήματα υγείας, έπεσε από το παράθυρο του τέταρτου ορόφου το πρωί του Σαββάτου (12/8). Το ιατρικό προσωπικό τον μετέφερε άμεσα στα επείγοντα. Εκεί έγινε μεγάλη προσπάθεια ανάνηψης χωρίς επιτυχία. Πρόκειται για τη δεύτερη αυτοκτονία στο Αττικόν Νοσοκομείο με τον ίδιο τρόπο. Σημειώνεται ότι η αστυνομία βρίσκεται στο Αττικόν και ερευνά το συμβάν.",False
newsbomb.gr,https://www.newsbomb.gr/ellada/story/1457673/nea-filadelfeia-ston-anakriti-o-aderfos-tou-mixali-katsouri-thelo-na-apodothei-dikaiosyni,ΕΛΛΑΔΑ,Νέα Φιλαδέλφεια: Στον ανακριτή ο αδερφός του Μιχάλη Κατσουρή -  «Θέλω να αποδοθεί δικαιοσύνη»,2023-08-12T12:00:22+03:00,,"Σοφία Σπίγγου Την απόδοση Δικαιοσύνης για το θάνατο του Μιχάλη Κουσουρή ζήτησε ο αδελφός του που βρέθηκε σήμερα ενώπιον της 25ης τακτικής ανακρίτριας για να δηλώσει παράσταση προς υποστήριξη κατηγορίας. «Θέλω να αποδοθεί δικαιοσύνη για τον αδελφό μου» δήλωσε εξερχόμενος των δικαστηρίων της πρώην σχολής Ευελπίδων ο αδελφός του δολοφονημένου 29χρονου, συνοδευόμενος από τους δικηγόρους του, Σταύρο Γεωργόπουλο και Χρήστο Μαυρομάτη. Ο αδελφός του θύματος κατέθεσε ένα υπόμνημα-αίτημα στην ανακρίτρια ζητώντας τη διενέργεια συγκεκριμένων ανακριτικών πράξεων «με σκοπό τη συλλογή και διατήρηση των αποδείξεων καθώς και για την εξασφάλιση των ιχνών του εγκλήματος και τη διερεύνηση της τέλεσης λοιπών αξιόποινων πράξεων». Στο υπόμνημα - αίτημα ζητείται:  Μετά τη λήψη αντιγράφων της δικογραφίας και των απολογιών των κατηγορουμένων επιφυλάσσομαι παντός νομίμου δικαιώματος μου. Στο έγγραφο γίνεται αναφορά σε «εγκληματική αμέλεια, αδράνεια, ανοχή και ασυνεννοησία των εμπλεκόμενων ελληνικών αστυνομικών αρχών - από την ώρα που εισήλθαν στην ελληνική επικράτεια οι περισσότεροι εκ των κατηγορουμένων μέχρι την συνάντηση που είχαν με τους εν Ελλάδι συνεργούς τους με κοινό σκοπό την δολοφονική επίθεση (οι προβοκάτορες την ονόμασαν ραντεβού) σε όσους βρίσκονταν το βράδυ της 7ης Ιουλίου 2023 έξωθεν του γηπέδου ""Αγία Σοφιά"" στην Νέα Φιλαδέλφια». Στο προοίμιο του υπομνήματος επισυνάπτεται το εξής απόσπασμα από το ποίημα «Σχήμα της απουσίας» του Γιάννη Ρίτσου: «Ποτέ δεν φεύγουν τα νεκρά παιδιά απ΄τα σπίτια τους, Tριγυρίζουν εκεί. Δεν φεύγουν τα νεκρά παιδιά. Μένουν στο σπίτι κι έχουν μια ξεχωριστή προτίμηση να παίζουν στον κλεισμένο διάδρομο και κάθε μέρα μεγαλώνουν μέσα στην καρδιά μας, τόσο που ο πόνος κάτω απ΄τα πλευρά μας δεν είναι πια απ΄τη στέρηση, μα από την αύξηση… Κι αν κάποτε οι γυναίκες βγάζουν μια κραυγή στον ύπνο τους, είναι που τα κοιλοπονάνε πάλι…» Στα δικαστήρια της Ευελπίδων οδηγήθηκε με ισχυρή αστυνομική δύναμη, η δεύτερη ομάδα των 40 κατηγορουμένων προκειμένου να απολογηθούν για όσα τους καταλογίζονται στην υπόθεση της άγριας επίθεσης έξω από το γήπεδο της ΑΕΚ στη Νέα Φιλαδέλφεια το βράδυ της Δευτέρας. Οι κατηγορούμενοι που μεταφέρθηκαν στα δικαστήρια με κλούβες της αστυνομίας, θα ξεκινήσουν να μεταφέρονται στα ανακριτικά γραφεία για τις απολογίες τους τις οποίες θα λάβουν η 25η τακτική ανακρίτρια που ορίστηκε για την κύρια ανάκριση, καθώς και ο 14ος και η 20η που ορίστηκαν ως επίκουροι στο έργο της συναδέλφου τους. Οι απολογίες των 105 κατηγορουμένων για τα αιματηρά επεισόδια στη Νέα Φιλαδέλφεια ξεκίνησαν χθες με αυτές των πρώτων 30. Όλοι οι κατηγορούμενοι που βρέθηκαν χθες ενώπιον των δικαστικών λειτουργών κρίθηκαν προσωρινά κρατούμενοι μετά τις απολογίες τους. Οι συλληφθέντες αρνούνται κάθε εμπλοκή με τη δολοφονία. Χαρακτηριστική είναι η απολογία του 27χρονου Έλληνα κατηγορούμενου, ιδιοκτήτη καφέ ο οποίος είχε απασχολήσει και στο παρελθόν για οπαδική βία τις Αρχές. «Όταν έφτασα στο σημείο είδαν να πέφτουν φωτοβολίδες, άκουσα κροτίδες και να ακούγονται κραυγές και βρισιές των εμπλεκόμενων. Αποχώρησα γιατί φοβήθηκα και κατευθύνθηκα στον σταθμό του Περισσού. Στην κατοχή μου δεν βρέθηκε τίποτα από όσα κατασχέθηκαν. Βρέθηκα στο λάθος σημείο, τη λάθος στιγμή», είπε μεταξύ άλλων. Ο 22χρονος Αλβανός κατηγορούμενος ανέφερε πως ο σουγιάς που βρέθηκε επάνω του ήταν για τη δουλειά του, ενώ ανέφερε ότι περίμενε την κοπέλα του στον σταθμό του Περισσού και δεν είχε ανάμιξη με τα επεισόδια. Την ίδια ώρα, όλοι οι Κροάτες έχουν την ίδια υπερασπιστική γραμμή, σύμφωνα με την οποία υποστηρίζουν πως πήγαν στη Νέα Φιλαδέλφεια για να δουν την προπόνηση της ομάδας τους και έπεσαν επάνω στα επεισόδια.",True
newsbomb.gr,https://www.newsbomb.gr/ellada/astynomiko-reportaz/story/1457672/patra-synelifthi-50xronos-katigoroymenos-gia-apopeira-viasmoy,ΑΣΤΥΝΟΜΙΚΟ,Πάτρα: Συνελήφθη 50χρονος κατηγορούμενος για απόπειρα βιασμού,2023-08-12T11:49:07+03:00,Newsbomb,"Newsbomb Πάτρα: Συνελήφθη 50χρονος κατηγορούμενος για απόπειρα βιασμού, επικίνδυνη σωματική βλάβη και παράνομη κατακράτηση Σε περιοχή της Πάτρας συνελήφθη ένας 50χρονος, ο οποίος κατηγορείται για απόπειρα βιασμού, επικίνδυνη σωματική βλάβη, παράνομη κατακράτηση, απειλή και βία κατά υπαλλήλων. Ειδικότερα, σύμφωνα με την αστυνομία, ο 50χρονος συνελήφθη, διότι με την άσκηση σωματικής βίας και την χρήση απειλών, αποπειράθηκε να βιάσει μία 41χρονη, χωρίς ωστόσο να το καταφέρει, καθώς έγινε αντιληπτός από περίοικους, οι οποίοι ειδοποίησαν την 'Αμεση Δράση. Όταν οι αστυνομικοί έφθασαν στον τόπο του περιστατικού, εντόπισαν τον 50χρονο και τον συνέλαβαν. Μάλιστα, σύμφωνα με την αστυνομία, ο κατηγορούμενος αντιστάθηκε κατά την διάρκεια της σύλληψής του, ασκώντας βία και απειλώντας τους αστυνομικούς. Ο συλληφθείς πρόκειται να οδηγηθεί στον εισαγγελέα Πρωτοδικών Πατρών. Πηγή: Αθηναϊκό/Μακεδονικό Πρακτορείο Ειδήσεων  Διαβάστε επίσης: Βίντεο-ντοκουμέντο: Η στιγμή που ο εμπρηστής βάζει φωτιά στα Φαραγγιανά «Έξυπνη» ανακύκλωση στις πλαζ Βουλιαγμένης και Βάρκιζας Μιχάλης Κατσουρής: Στον ανακριτή και ο αδερφός του – Συνεχίζονται οι απολογίες",False
newsbomb.gr,https://www.newsbomb.gr/ellada/story/1457668/vinteo-dokoumento-i-stigmi-pou-o-70xronos-empristis-kata-syrroi-vazei-fotia-sta-faraggiana,ΕΛΛΑΔΑ,Βίντεο-ντοκουμέντο: Η στιγμή που ο εμπρηστής βάζει φωτιά στα Φαραγγιανά,2023-08-12T11:36:35+03:00,Newsbomb,"Newsbomb Ο 70χρονος άνδρας που κατηγορείται για εμπρησμό μέσα σε λίγες ημέρες επιχείρησε να βάλει φωτιά δύο φορές στην περιοχή Φαραγγιανά Στον εισαγγελέα πρόκειται να οδηγηθεί στις 11:30 το πρωί του Σαββάτου 12 Αυγούστου, ο 70χρονος άνδρας, ο οποίος συνελήφθη για δύο πυρκαγιές στην περιοχή Φαραγγιανά, του δήμου Γόρτυνας στο Ηράκλειο. Όπως αναφέρει το neakriti.gr, ο ηλικιωμένος άνδρας κατηγορείται για εμπρησμό από πρόθεση κατά συρροή, ενώ του έχει επιβληθεί και το ανάλογο διοικητικό πρόστιμο. Αποκαλυπτικό βίντεο τον δείχνει να περνά από το σημείο που ξέσπασε η φωτιά, με το τρακτέρ να πετάει κάτι στα χόρτα και λίγο μετά να αρχίζει η πυρκαγιά. Δείτε το βίντεο ντοκουμέντο:  Η φωτιά εκδηλώθηκε την Παρασκευή 11 Αυγούστου, στη περιοχή Φαραγγιανά και κάηκε μικρή γεωργική έκταση. Στο σημείο επιχείρησαν δύο οχήματα της πυροσβεστικής με 4 υπαλλήλους, οι οποίοι έθεσαν άμεσα τη φωτιά υπό έλεγχο προτού επεκταθεί. Ο ηλικιωμένος άνδρας κατηγορείται και για φωτιά που ξέσπασε στις 6 του μήνα στην ίδια περιοχή και σήμερα πρόκειται να βρεθεί ενώπιον εισαγγελέα προκειμένου να απολογηθεί και έως τότε κρατείται. Η σύλληψη του 70χρονου έγινε από ανακριτικούς υπαλλήλους της Πυροσβεστικής Υπηρεσίας Ηρακλείου, του Πυροσβεστικού Κλιμάκιου Πύργου, του Αστυνομικού Τμήματος Πύργου και σχηματίστηκε η σχετική δικογραφία. Διαβάστε επίσης: «Έξυπνη» ανακύκλωση στις πλαζ Βουλιαγμένης και Βάρκιζας Μιχάλης Κατσουρής: Στον ανακριτή και ο αδερφός του – Συνεχίζονται οι απολογίες Ικαρία: Τι έδειξε η νεκροψία για τον πνιγμό του 11χρονου",True
newsbomb.gr,https://www.newsbomb.gr/ellada/story/1457667/eksypni-anakyklosi-stis-plaz-vouliagmenis-kai-varkizas,ΕΛΛΑΔΑ,«Έξυπνη» ανακύκλωση στις πλαζ Βουλιαγμένης και Βάρκιζας,2023-08-12T11:30:02+03:00,Newsbomb,"Newsbomb Ανακύκλωση: Όσο κι αν υπάρχει η γενικότερη θέληση για καθαρές ακτές, οι παραλίες είναι πάντα ένας χώρος όπου συγκεντρώνεται μεγάλο πλήθος ανθρώπων, ειδικά τα σαββατοκύριακα, και μαζί τους μοιραία συγκεντρώνονται και απορρίμματα.  Γι’ αυτό και οι καθαρές ακτές αποτελούν κάθε καλοκαίρι ένα μεγάλο στοίχημα για τους δήμους, οι οποίοι κινητοποιούν προσωπικό και ενέργεια προκειμένου να το πετύχουν. Ο δήμος Βάρης-Βούλας-Βουλιαγμένης πηγαίνει ένα βήμα παραπέρα και κινητοποιεί τώρα και τις «έξυπνες» εφαρμογές, ειδικά για τις δύο οργανωμένες πλαζ που διαθέτει, αυτές της Βουλιαγμένης και της Βάρκιζας. Στο πλαίσιο των πρωτοβουλιών του για την προστασία του περιβάλλοντος και την ενθάρρυνση της ανακύκλωσης και σε συνεργασία με τη Μη Κερδοσκοπική Εταιρεία καινοτόμων εφαρμογών Whywasteme, υποστηρίζει την πρώτη εφαρμογή στην Ελλάδα για κινητά τηλέφωνα, η οποία κατά κάποιο τρόπο προσωποποιεί τις προσπάθειες προστασίας του παράκτιου περιβάλλοντος, δίνοντας κίνητρα για τη χωριστή συλλογή πλαστικών και αλουμινένιων συσκευασιών στις ακτές του δήμου. Ουσιαστικά πρόκειται για μια εφαρμογή, που ο καθένας μπορεί να κατεβάσει στο κινητό τηλέφωνό του και η οποία έχει τη δυνατότητα να καταγράφει τις συσκευασίες που ο χρήστης διοχετεύει στην ανακύκλωση. Ταυτόχρονα, υπολογίζει πόσο διοξείδιο του άνθρακα γλιτώνει η ατμόσφαιρα κι εδώ έρχεται η ανταποδοτικότητα, καθώς η εφαρμογή επιβραβεύει τον χρήστη με δώρα και δωρεές για την προστασία των θαλασσών. Έτσι, όσοι βρεθούν σε αυτές τις δύο πλαζ, θα μπορούν να κατεβάζουν δωρεάν την εφαρμογή, να δημιουργούν το δικό τους προφίλ, να σκανάρουν τις άδειες συσκευασίες και να συγκεντρώνουν πόντους για κάθε άδειο μπουκάλι ΡΕΤ ή για κάθε κουτί αλουμινίου που απορρίπτουν στους ειδικούς κάδους της Whywasteme. Κάθε πέντε πόντοι ισοδυναμούν με 1 ευρώ, το οποίο οι χρήστες μπορούν να δωρίσουν σε τρεις άλλες ΜΚΟ, που δραστηριοποιούνται ενεργά στον καθαρισμό του βυθού και των ελληνικών ακτών. Από εκεί και πέρα, οι τρεις πρώτοι χρήστες σε επιδόσεις ανακύκλωσης, θα κερδίσουν και δώρα από ελληνικές εταιρείες βιώσιμου σχεδιασμού με υλικά από το θαλάσσιο περιβάλλον, πάνω στη λογική της επαναχρησιμοποίησης και της κυκλικής αξιοποίησης. «Είμαστε ως δήμος ένα πεδίο συνεχών εφαρμογών», λέει στο ΑΠΕ-ΜΠΕ ο δήμαρχος Βάρης-Βούλας-Βουλιαγμένης Γρηγόρης Κωνσταντέλλος και εξηγεί: «Πρόκειται για μια πολύ ωραία πρωτοβουλία, την οποία θελήσαμε να υιοθετήσουμε. Οι ακτές μαζεύουν πάντα απορρίμματα και κυρίως πλαστικά μπουκάλια. Πολλά πλαστικά μπουκάλια. Αυτή η πρωτοβουλία λοιπόν, αποσκοπεί στο να μην πεταχτούν δεξιά και αριστερά όλα αυτά τα μπουκάλια, ώστε να προστατευτεί το περιβάλλον και παράλληλα να δώσει κίνητρο γι’ αυτό στον λουόμενο, ώστε ο καθένας να κάνει τη δική του ανακύκλωση μέσα στην ακτή. Να κατεβάσει την εφαρμογή, να σκανάρει τον μοναδικό κωδικό που έχει το κάθε μπουκάλι ή το κάθε κουτάκι και να τα ρίξει στα δοχεία υποδοχής, που έχουν τοποθετηθεί στις δύο πλαζ. Αυτομάτως, δημιουργεί ένα δικό του ‘’πορτοφόλι’’ μέσα στην εφαρμογή, όπου συγκεντρώνονται όλοι οι πόντοι για την ανακύκλωση που κάνει, όχι μόνο εδώ στον δικό μας δήμο, αλλά οπουδήποτε στην Ελλάδα γίνεται χρήση αυτής της εφαρμογής. Μπορεί δηλαδή να το συνεχίσει αυτό και στην Κέρκυρα για παράδειγμα. Έτσι, αυξάνει τον δικό του λογαριασμό και μπορεί να κάνει δωρεές σε τρεις ΜΚΟ, που δραστηριοποιούνται ειδικά στον καθαρισμό των ακτών και του βυθού».  Όπως λέει ο κ. Κωνσταντέλλος, μέχρι και «πρωτάθλημα» μπορεί να δημιουργηθεί, αφού οι χρήστες μπορούν να προσκαλέσουν άλλους λουόμενους και να δημιουργήσουν ομάδες, σ’ ένα πρωτότυπο παιχνίδι ανακύκλωσης. «Είναι μια καλομελετημένη εφαρμογή», προσθέτει στο τέλος. Είναι γεγονός πως ο συγκεκριμένος δήμος της Αττικής έχει προχωρήσει σε αρκετές καινοτομίες γύρω από την ανακύκλωση και είναι από αυτούς που εφαρμόζουν διάφορα πιλοτικά προγράμματα, προκειμένου να πετύχουν το ζητούμενο. Σε κάποια μάλιστα από αυτά έχει γίνει πρωτοπόρος, με αποτέλεσμα να έχει ήδη δημιουργηθεί μια κουλτούρα ανακύκλωσης στους δημότες και των τριών δημοτικών κοινοτήτων. Η συγκεκριμένη εφαρμογή όμως, έρχεται να απευθυνθεί και στους επισκέπτες του δήμου, δηλαδή σε όλους αυτούς που θα πάνε στη Βουλιαγμένη και στη Βάρκιζα για μπάνιο από διάφορες περιοχές της Αττικής. «Ναι, ο δήμος έχει δημιουργήσει αυτή την κουλτούρα, όμως οι ακτές αφορούν και τους επισκέπτες μας, όχι μόνο τους δημότες. Επομένως, αφορά σε μια κουλτούρα ανακύκλωσης, που επιδιώκει να εξαπλωθεί, γιατί το θέμα των απορριμμάτων δεν είναι μόνο τοπικό, είναι γενικότερο. Τι να το κάνεις το να είναι καθαρή η μια παραλία και η διπλανή να μην είναι; Το περιβάλλον λοιπόν είναι υπόθεση όλων, δημοτών και επισκεπτών», απαντά ο δήμαρχος Βάρης-Βούλας-Βουλιαγμένης και καταλήγει: «Για εμάς ως δημοτική Αρχή αποτελεί υποχρέωση, όπου υπάρχουν τέτοιες καινοτομίες και εφαρμογές ή να τις υιοθετούμε ή να τις πηγαίνουμε πιο πέρα. Το τελικό αποτέλεσμα αφορά όλους μας». Πηγή: Αθηναϊκό/Μακεδονικό Πρακτορείο Ειδήσεων Διαβάστε επίσης: Ικαρία: Τι έδειξε η νεκροψία για τον πνιγμό του 11χρονου Χανιά: Αυξημένη σε σχέση με πέρυσι η κίνηση επιβατών στο αεροδρόμιο Κρήτη: Του έταξαν market pass αλλά τελικά του άρπαξαν σχεδόν 5.000 ευρώ",False
newsbomb.gr,https://www.newsbomb.gr/ellada/dikaiosynh/story/1457663/mixalis-katsouris-ston-anakriti-kai-o-aderfos-tou-synexizontai-oi-apologies,ΔΙΚΑΙΟΣΥΝΗ,Μιχάλης Κατσουρής: Στον ανακριτή και ο αδερφός του – Συνεχίζονται οι απολογίες,2023-08-12T11:17:27+03:00,Newsbomb,"Newsbomb Ο αδερφός του δολοφονημένου 29χρονου θα δώσει το «παρών» ενώπιον των Ανακριτών για να δηλώσει Παράσταση προς Υποστήριξη της Κατηγορίας. Συνεχίζονται οι απολογίες των κατηγορούμενων. Η διαδικασία των απολογιών των κατηγορούμενων για τη δολοφονία του 29χρονου Μιχάλη Κατσουρή, συνεχίζεται και το Σάββατο (12/8). Από το πρωί έχουν οδηγηθεί στα δικαστήρια της Ευελπίδων άλλοι 40 κατηγορούμενοι, ενώ σύμφωνα με πληροφορίες θα δώσει το «παρών» και ο αδερφός του θύματος. Ο αδερφός του 29χρονου Μιχάλη Κατσουρή, αναμένεται να δηλώσει Παράσταση προς Υποστήριξη της Κατηγορίας στους ανακριτές που ερευνούν την υπόθεση των αιματηρών επεισοδίων στη Νέα Φιλαδέλφεια. Ο αδερφός του αδικοχαμένου Μιχάλη θα μεταβεί στην Ευελπίδων μαζί με τον δικηγόρο Σταύρο Γεωργόπουλο. Στην ποινική δίωξη που έχει ασκηθεί για όλα όσα έγιναν στο γήπεδο της ΑΕΚ, περιλαμβάνεται η κατηγορία της ανθρωποκτονίας από πρόθεση. Ωστόσο, δεν έχει προσωποποιηθεί για την ώρα σε κάποιον από τους 105 κατηγορούμενους που συνεχίζουν να απολογούνται για τα βίαια επεισόδια. Οι μεταγωγές των κατηγορούμενων από τη ΓΑΔΑ στην Ευελπίδων γίνονται κάτω από δρακόντεια μέτρα ασφαλείας. Η διαδικασία αναμένεται να ολοκληρωθεί την Κυριακή όταν και θα περάσουν το κατώφλι του ανακριτή οι υπόλοιποι 35 κατηγορούμενοι.  Οι συλληφθέντες αρνούνται κάθε εμπλοκή με τη δολοφονία. Χαρακτηριστική είναι η απολογία του 27χρονου Έλληνα κατηγορούμενου, ιδιοκτήτη καφέ ο οποίος είχε απασχολήσει και στο παρελθόν για οπαδική βία τις Αρχές. «Όταν έφτασα στο σημείο είδαν να πέφτουν φωτοβολίδες, άκουσα κροτίδες και να ακούγονται κραυγές και βρισιές των εμπλεκόμενων. Αποχώρησα γιατί φοβήθηκα και κατευθύνθηκα στον σταθμό του Περισσού. Στην κατοχή μου δεν βρέθηκε τίποτα από όσα κατασχέθηκαν. Βρέθηκα στο λάθος σημείο, τη λάθος στιγμή», είπε μεταξύ άλλων. Ο 22χρονος Αλβανός κατηγορούμενος ανέφερε πως ο σουγιάς που βρέθηκε επάνω του ήταν για τη δουλειά του, ενώ ανέφερε ότι περίμενε την κοπέλα του στον σταθμό του Περισσού και δεν είχε ανάμιξη με τα επεισόδια. Την ίδια ώρα, όλοι οι Κροάτες έχουν την ίδια υπερασπιστική γραμμή, σύμφωνα με την οποία υποστηρίζουν πως πήγαν στη Νέα Φιλαδέλφεια για να δουν την προπόνηση της ομάδας τους και έπεσαν επάνω στα επεισόδια.",True
newsbomb.gr,https://www.newsbomb.gr/ellada/story/1457662/ikaria-ti-edeikse-i-nekropsia-gia-ton-pnigmo-tou-11xronou,ΕΛΛΑΔΑ,Ικαρία: Τι έδειξε η νεκροψία για τον πνιγμό του 11χρονου,2023-08-12T11:15:28+03:00,Newsbomb,"Newsbomb Πνιγμός 11χρονου στην Ικαρία: Έγινε η νεκροψία - νεκροτομή στη σορό του παιδιού Η νεκροψία που διενεργήθηκε στη Σάμο το Σάββατο (12/08) και αφότου έγιναν όλες οι απαιτούμενες εξετάσεις, έδειξαν ότι ο θάνατος του 11χρονου αγοριού στους Φούρνους Ικαρίας προήλθε από πνιγμό. Επίσης, έχουν ληφθεί δείγματα για περαιτέρω τοξικολογικές εξετάσεις, όπως μετέδωσε η ΕΡΤ πριν από λίγη ώρα. Ο θάνατος του 11χρονου Χρήστου Σταμούλη, γιου του ηθοποιού Οδυσσέα Σταμούλη, που πνίγηκε την Πέμπτη (10/08) στους Φούρνους Ικαρίας έχει συγκλονίσει άπαντες.  Η οικογένεια του ηθοποιού Οδυσσέα Σταμούλη, με ανάρτησή της στα μέσα κοινωνικής δικτύωσης, γνωστοποίησε πως η κηδεία του 11χρονου θα γίνει τη Δευτέρα (14/08) στην Καλλιθέα. Στην διαδικτυακή ανακοίνωση αναφέρεται: «Κηδεύουμε τη Δευτέρα 14 Αυγούστου 2023 και ώρα 11 π.μ., στο Νεκροταφείο Καλλιθέας, το αγγελούδι μας Χρήστο Σταμούλη 11 ετών». Η ανάρτηση:",True
newsbomb.gr,https://www.newsbomb.gr/ellada/story/1457659/xania-afksimeni-se-sxesi-me-perysi-i-kinisi-epivaton-sto-aerodromio,ΕΛΛΑΔΑ,Χανιά: Αυξημένη σε σχέση με πέρυσι η κίνηση επιβατών στο αεροδρόμιο,2023-08-12T10:57:07+03:00,Newsbomb,"Newsbomb Χανιά: Σε υψηλά επίπεδα η τουριστική κίνηση το πρώτο επτάμηνο του 2023, στο αεροδρόμιο της πόλης Αυξημένη κατά 12,7% ήταν κατά το πρώτο επτάμηνο του 2023, σε σχέση με το αντίστοιχο διάστημα πέρυσι, η επιβατική κίνηση μέσω του αεροδρομίου Χανίων «Ιωάννης Δασκαλογιάννης». Σύμφωνα με τα επίσημα στοιχεία της Fraport , κατά τους πρώτους επτά μήνες του 2023 μέσω του «Ι. Δασκαλογιάννης», μετακινήθηκαν 1.966.744 επιβάτες , έναντι 1.744.588 το ίδιο διάστημα του 2022. Το πρώτο επτάμηνο του 2023 στο αεροδρόμιο Χανίων πραγματοποιήθηκαν 13.346 πτήσεις, ενώ το πρώτο επτάμηνο του 2022 είχαν πραγματοποιηθεί 12.597 πτήσεις, αυξηση 5,9%. Τον Ιούλιο του 2023 μέσω του «Ιωάννης Δασκαλογιάννης», διακινήθηκαν 672.278 επιβάτες, ενώ τον Ιούλιο του 2022 είχαν διακινηθεί 620.419. Την πρώτη πεντάδα των επιβατών συγκροτούν επισκέπτες από το Ηνωμένο Βασίλειο, την Δανία, την Νορβηγία, την Γερμανία και την Πολωνία.",False
